City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
51,kapaa,US,80.01,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
54,touros,BR,82.4,-5.2,-35.46,INN NEW HORIZON
56,reconquista,AR,79.43,-29.15,-59.65,Grand Hotel
57,lompoc,US,66.2,34.64,-120.46,Holiday Inn Express Lompoc
58,voh,NC,66.67,-20.97,164.7,Le gîte du Koniambo
59,hasaki,JP,68.0,35.73,140.83,Inubosaki Kanko Hotel
60,lagoa,PT,61.48,39.05,-27.98,Casa Das Faias
61,saskylakh,RU,74.7,71.92,114.08,
62,itarema,BR,79.93,-2.92,-39.92,Windvillage
63,les cayes,HT,86.23,18.2,-73.75,Villa Orphee
64,arraial do cabo,BR,80.6,-22.97,-42.03,Pousada Porto Praia
65,ribeira grande,PT,66.2,38.52,-28.7,Quinta da Meia Eira
66,nizwa,OM,87.3,22.93,57.53,Orient Apartments
67,antonina,BR,77.0,-25.43,-48.71,Hotel Capelista
70,mbandaka,CD,76.86,0.05,18.26,Guest House Epervier
72,axim,GH,78.22,4.87,-2.24,AXIM BEACH RESORT AND SPA
73,deputatskiy,RU,68.31,69.3,139.9,Baza Otdykha
74,narsaq,GL,62.6,60.92,-46.05,Hotel Narsaq
75,port alfred,ZA,62.01,-33.59,26.89,The Halyards Hotel
76,bosaso,SO,90.84,11.28,49.18,Red Sea Hotel
79,poum,NC,73.71,-20.23,164.02,Gîte kajeon
80,roald,NO,60.01,62.58,6.13,Flem Cabins
81,san patricio,MX,91.4,19.22,-104.7,Hotel Cabo Blanco
83,namibe,AO,69.44,-15.2,12.15,Hotel Chik Chik Namibe
85,akdepe,TM,86.0,42.06,59.38,Мой дом
86,thunder bay,CA,71.6,48.4,-89.32,Victoria Inn Hotel and Convention Centre
87,chokurdakh,RU,65.44,70.63,147.92,
88,tautira,PF,80.6,-17.73,-149.15,Pension Oaoa
90,korla,CN,82.47,41.76,86.15,Gulisitan Hotel
91,champerico,GT,89.6,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
92,atuona,PF,79.41,-9.8,-139.03,Villa Enata
94,atambua,ID,67.98,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
97,florianopolis,BR,80.6,-27.61,-48.5,Hotel Boutique Quinta das Videiras
98,butaritari,KI,83.05,3.07,172.79,Isles Sunset Lodge
100,corinth,GR,77.0,37.94,22.96,Ephira Hotel
101,zyryanka,RU,67.05,65.75,150.85,Zyryanka
102,pascagoula,US,90.0,30.37,-88.56,Regency Inn
103,katobu,ID,72.28,-4.94,122.53,La Ode Husein
104,yellowknife,CA,72.0,62.46,-114.35,The Explorer Hotel
105,thompson,CA,78.8,55.74,-97.86,Burntwood Hotel
106,iwaki,JP,64.0,37.05,140.88,Toyoko Inn Iwaki Ekimae
108,chuy,UY,69.21,-33.7,-53.46,Nuevo Hotel Plaza
111,bandarbeyla,SO,80.8,9.49,50.81,REER XOOSHLE GROUP
113,oyama,JP,75.0,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
114,utiel,ES,73.99,39.57,-1.2,Hotel Restaurante El Tollo
115,los llanos de aridane,ES,73.4,28.66,-17.92,Valle Aridane
117,umea,SE,62.6,63.83,20.26,Hotel Avenue | ProfilHotels
118,avarua,CK,77.0,-21.21,-159.78,Paradise Inn
119,tias,ES,73.4,28.96,-13.64,Hotel Beatriz Playa & SPA
121,havre-saint-pierre,CA,73.4,50.23,-63.6,Auberge Niapiskau
123,novosokolniki,RU,62.02,56.35,30.16,"Gostinitsa ""Novosokol'nicheskogo Mpzhkkh"""
128,bethel,US,86.0,41.37,-73.41,Courtyard by Marriott Danbury
130,mangrol,IN,85.3,21.12,70.12,Hotel The Royal Honours
131,kabinda,CD,73.63,-6.13,24.48,Village Mianda Mutole
133,shache,CN,80.8,38.42,77.24,Delong Hotel
134,douglas,US,77.0,41.3,-96.17,Hilton Garden Inn Omaha West
135,hinganghat,IN,78.8,20.57,78.83,STARiHOTELS Railway Station Hinganghat
137,ban phai,TH,80.6,16.06,102.73,Inpawa Hotel
138,bilma,NE,93.85,18.69,12.92,Expeditions Ténére voyages
139,georgetown,MY,80.6,5.41,100.34,Cititel Penang
140,caxias,PT,70.0,38.7,-9.28,HI Hostel Oeiras - Pousada de Juventude
141,lata,PT,78.01,40.16,-8.33,Casa Maquia
142,centenario do sul,BR,75.96,-22.82,-51.6,Pousada Familiar Paranapanema
145,penzance,GB,68.0,50.12,-5.54,The Corner House
147,sola,VU,81.16,-13.88,167.55,Leumerus Bungalows
149,richards bay,ZA,64.2,-28.78,32.04,BON Hotel Waterfront Richards Bay
152,jamestown,US,75.2,42.1,-79.24,Hampton Inn & Suites Jamestown
153,katsuura,JP,73.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
154,pasni,PK,84.9,25.26,63.47,3G hotel pasni
155,fortuna,US,69.01,40.6,-124.16,Super 8 by Wyndham Fortuna
156,olginskaya,RU,80.01,47.19,39.95,Hotel Dostupnoe nebo
157,sabinas hidalgo,MX,100.02,26.5,-100.17,Hotel Real Santiago De Las Sabinas
159,bonnyville,CA,73.4,54.27,-110.73,Best Western Bonnyville Inn & Suites
160,weleri,ID,76.23,-6.97,110.07,Wod 345
163,torbay,CA,81.0,47.67,-52.73,Gallows Cove
164,sirnak,TR,67.71,37.52,42.46,Şehr-i Nuh Otel
167,quelimane,MZ,73.4,-17.88,36.89,Hotel Flamingo
168,nikolskoye,RU,72.0,59.7,30.79,Tourist House - Sablino
170,pacific grove,US,73.99,36.62,-121.92,Lovers Point Inn
171,nouadhibou,MR,75.2,20.93,-17.03,El Medina
172,san lorenzo,PY,89.6,-25.33,-57.53,Canarias Hotel
173,faya,SA,77.0,18.39,42.45,مقبرة ال مجمل
175,dabakala,CI,79.66,8.37,-4.43,Hôtel Campement
176,pangkalanbuun,ID,74.16,-2.68,111.62,Grand Kecubung Hotel
178,shar,KZ,64.09,49.59,81.05,
179,mulege,MX,95.61,26.88,-111.98,Casa Granada
180,yei,SS,67.32,4.09,30.68,City Link Hotel
182,quatre cocos,MU,71.6,-20.21,57.76,Veranda Palmar Beach Hotel
183,sur,OM,81.32,22.57,59.53,Sur Plaza Hotel
185,gazanjyk,TM,85.8,39.24,55.52,Railway motel
187,phetchabun,TH,82.99,16.25,101.08,วินธนา รีสอร์ท
189,planeta rica,CO,89.6,8.41,-75.59,HOTEL MEDIA LUNA
193,kabelvag,NO,60.8,68.21,14.48,Nyvågar Rorbuhotel
195,ixtapa,MX,87.8,20.7,-105.2,Container Inn Puerto Vallarta
197,saint-louis,SN,102.2,16.33,-15.0,
202,dingle,PH,78.31,11.0,122.67,Camp Pasica
203,kualakapuas,ID,71.83,-3.01,114.39,Guest House Izonk
205,noumea,NC,68.0,-22.28,166.46,Hôtel Le Lagon
213,saurimo,AO,65.05,-9.66,20.39,Hotel Kawissa Saurimo
214,williams lake,CA,62.6,52.14,-122.14,Stampeder Motel
215,canon city,US,82.4,38.44,-105.24,Travel Inn Motel
216,longyan,CN,76.73,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
217,salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
218,victoria,HK,86.0,22.29,114.16,Mini Hotel Central
219,san andres,CO,87.8,12.58,-81.7,Hotel Arena Blanca
220,bahile,PH,80.6,10.0,118.79,Ortega Patria Gloria I
221,souillac,MU,71.6,-20.52,57.52,Bils' Villa
223,sidi ali,DZ,82.42,36.1,0.42,
224,asfi,MA,70.54,32.3,-9.24,Hôtel Abda
226,cotonou,BJ,80.6,6.37,2.42,Novotel Cotonou Orisha
227,puerto del rosario,ES,75.2,28.5,-13.86,Hotel JM Puerto del Rosario
230,taoudenni,ML,105.21,22.68,-3.98,
231,cidreira,BR,72.46,-30.18,-50.21,Novomar Pousada e Turismo Ltda
233,patiya,BD,84.2,22.29,91.98,"Alam Building, Noaa Pokor Par, Patiya"
234,arrecife,ES,73.4,28.96,-13.55,Hotel Lancelot
235,saint-philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
236,sechura,PE,76.86,-5.56,-80.82,Hospedaje Costa Bella
238,gat,IL,77.0,31.61,34.76,רגע בנחת
241,diego de almagro,CL,67.44,-26.37,-70.05,hotel luna del desierto
243,gorom-gorom,BF,101.89,14.44,-0.24,Mairie de Rambo
245,novska,HR,69.8,45.34,16.98,Prenoćište Babić
246,isangel,VU,75.2,-19.55,169.27,Volcano Sea View Tree House
248,kudahuvadhoo,MV,83.98,2.67,72.89,Kudahuvadhoo Retreat
252,riohacha,CO,90.57,11.54,-72.91,Hotel Taroa
254,saint-pierre,RE,69.8,-21.34,55.48,Lindsey Hôtel
255,kununurra,AU,60.8,-15.77,128.73,Hotel Kununurra
256,fallon,US,93.0,39.47,-118.78,Best Western Fallon Inn & Suites
257,gavrilov-yam,RU,62.6,57.3,39.85,Karat
258,guerrero negro,MX,74.12,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
260,grand gaube,MU,68.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
261,mehran,IR,77.0,33.12,46.16,زائرسرای نور
262,saravan,AM,80.6,39.72,45.65,
264,pimentel,PE,71.6,-6.84,-79.93,Casona Del Muelle
265,nishihara,JP,80.6,26.18,127.76,Minshuku Agaihama
267,tiznit,MA,71.37,29.58,-9.5,
269,san cristobal,VE,91.4,7.77,-72.22,Pirineos
272,mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
275,dumas,US,84.0,35.87,-101.97,Holiday Inn Express & Suites Dumas
277,kutum,SD,83.3,14.2,24.67,Dibbo areaمنطقة دبو
278,westport,US,88.0,41.14,-73.36,The Westport Inn
279,vila franca do campo,PT,68.0,37.72,-25.43,Pestana Bahia Praia
281,kailua,US,80.01,21.4,-157.74,Sheffield House Bed & Breakfast
282,pavlivka,UA,66.13,49.44,28.46,BULLDOG
283,takoradi,GH,78.01,4.88,-1.76,Raybow International Hotel
284,cabo san lucas,MX,89.01,22.89,-109.91,Hotel Tesoro Los Cabos
