City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
460,evensk,55,RU,broken clouds,65,61.95,159.23,54.3,0.0,0,4.81
461,mangan,100,IN,light rain,60,27.52,88.53,76.14,0.37,0,0.94
462,balikpapan,98,ID,overcast clouds,86,-1.27,116.83,76.82,0.0,0,7.81
463,shiojiri,66,JP,broken clouds,99,36.1,137.97,68.0,0.0,0,1.23
464,shablykino,1,RU,clear sky,96,52.86,35.2,57.76,0.0,0,6.78
465,lorengau,77,PG,moderate rain,79,-2.02,147.27,80.69,2.93,0,1.83
466,zhezkazgan,0,KZ,clear sky,48,47.8,67.71,60.57,0.0,0,18.16
467,marsa matruh,0,EG,clear sky,73,31.35,27.25,73.4,0.0,0,8.05
468,dimbokro,16,CI,few clouds,91,6.65,-4.7,76.03,0.0,0,5.41
469,koumac,0,NC,clear sky,75,-20.57,164.28,70.45,0.0,0,7.7
470,domoni,55,KM,broken clouds,79,-12.26,44.53,76.17,0.0,0,11.65
471,te anau,74,NZ,broken clouds,89,-45.42,167.72,40.12,0.0,0,1.05
472,chernyshkovskiy,90,RU,overcast clouds,50,48.42,42.23,71.08,0.0,0,4.97
473,russell,75,US,broken clouds,52,32.35,-85.2,89.6,0.0,0,10.29
474,bara,0,NG,clear sky,59,10.37,10.73,84.63,0.0,0,10.56
475,amurzet,100,RU,light rain,97,47.7,131.1,54.99,0.7,0,13.27
476,rincon,75,US,thunderstorm,66,32.3,-81.24,89.01,0.0,0,10.29
477,cleburne,75,US,broken clouds,83,32.35,-97.39,77.0,0.0,0,18.34
478,karabulak,53,RU,broken clouds,64,43.3,44.9,73.4,0.0,0,6.71
479,ipora,0,BR,clear sky,37,-16.44,-51.12,82.27,0.0,0,6.33
480,maragogi,19,BR,light rain,81,-9.01,-35.22,78.08,0.13,0,11.34
481,koryukivka,0,UA,clear sky,88,51.77,32.25,62.91,0.0,0,11.36
482,eidsvag,75,NO,broken clouds,82,62.78,8.07,62.6,0.0,0,8.05
