City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,Castanhal,-1.29,-47.93,299.15,88,29,3.1,BR,2020-06-23 05:14:05
279,Namatanai,-3.67,152.43,302.86,66,47,1.86,PG,2020-06-23 05:16:21
280,Katherine,-14.47,132.27,302.15,21,0,6.2,AU,2020-06-23 05:16:21
281,Talnakh,69.49,88.4,290.15,45,73,11.0,RU,2020-06-23 05:16:21
282,Druzhba,52.04,33.95,290.99,95,66,4.02,UA,2020-06-23 05:16:21
283,Porto Novo,6.5,2.6,297.15,94,20,1.5,BJ,2020-06-23 05:16:22
284,Enderby,52.59,-1.21,285.37,92,0,3.86,GB,2020-06-23 05:16:22
285,San Patricio,19.22,-104.7,300.38,76,37,1.57,MX,2020-06-23 05:16:23
286,Komsomolskiy,40.43,71.72,303.15,25,100,6.2,UZ,2020-06-23 05:16:23
287,Galesong,-5.32,119.37,305.15,55,20,3.6,ID,2020-06-23 05:16:24
288,Mahebourg,-20.41,57.7,297.15,64,40,4.1,MU,2020-06-23 05:16:24
289,Camacha,33.08,-16.33,293.15,88,75,4.1,PT,2020-06-23 05:16:24
290,Port Augusta,-32.5,137.77,288.15,58,25,3.6,AU,2020-06-23 05:16:25
291,Havre-Saint-Pierre,50.23,-63.6,285.15,100,90,1.0,CA,2020-06-23 05:16:25
292,Mega,4.05,38.3,288.3,94,74,7.45,ET,2020-06-23 05:16:25
293,Porto Velho,-8.76,-63.9,296.15,94,64,0.51,BR,2020-06-23 05:12:52
294,Tuban,-6.9,112.06,303.25,59,60,1.05,ID,2020-06-23 05:16:26
295,Beisfjord,68.38,17.6,287.15,82,50,7.7,NO,2020-06-23 05:16:26
296,Ancud,-41.87,-73.82,279.26,100,40,2.1,CL,2020-06-23 05:16:26
297,Urzhum,57.11,50.0,288.87,70,13,4.26,RU,2020-06-23 05:16:26
298,Banepa,27.63,85.52,299.15,78,75,2.6,NP,2020-06-23 05:16:27
299,Guhagar,17.48,73.19,301.88,76,100,4.05,IN,2020-06-23 05:16:27
300,Bilibino,68.05,166.44,290.82,29,53,4.91,RU,2020-06-23 05:16:27
301,Herat,34.5,62.0,304.15,25,40,6.2,AF,2020-06-23 05:16:27
302,Teguise,29.06,-13.56,295.15,68,90,4.1,ES,2020-06-23 05:16:28
303,Malandag,6.31,125.24,307.15,52,40,2.1,PH,2020-06-23 05:16:28
304,Guymon,36.68,-101.48,294.15,60,90,6.7,US,2020-06-23 05:14:56
305,Wewak,-3.55,143.63,302.41,68,24,3.28,PG,2020-06-23 05:16:28
306,Yacopi,5.46,-74.34,289.68,100,83,1.26,CO,2020-06-23 05:16:28
307,Hongjiang,27.11,110.0,299.41,90,100,1.65,CN,2020-06-23 05:16:29
308,Say,13.1,2.37,302.15,62,61,4.1,NE,2020-06-23 05:16:29
309,Laguna,38.42,-121.42,298.15,53,1,4.1,US,2020-06-23 05:16:29
310,Kungurtug,50.6,97.52,284.68,77,97,1.15,RU,2020-06-23 05:16:29
311,Azanka,58.04,64.79,288.43,44,6,2.97,RU,2020-06-23 05:16:29
312,Puerto Escondido,15.85,-97.07,301.3,74,88,1.37,MX,2020-06-23 05:16:30
313,Karratha,-20.74,116.85,301.12,25,0,4.0,AU,2020-06-23 05:16:30
314,Peruibe,-24.32,-47.0,292.52,73,3,1.55,BR,2020-06-23 05:16:30
315,Bay City,43.59,-83.89,295.37,78,90,2.6,US,2020-06-23 05:16:30
316,Lagoa,39.05,-27.98,291.64,95,74,2.37,PT,2020-06-23 05:16:30
317,Zhigansk,66.77,123.37,299.01,32,0,3.89,RU,2020-06-23 05:16:31
318,Koutsouras,35.03,25.95,295.06,71,2,4.64,GR,2020-06-23 05:16:31
319,Ixtapa,20.7,-105.2,298.64,73,31,0.62,MX,2020-06-23 05:16:31
320,Kruisfontein,-34.0,24.73,283.88,45,0,3.06,ZA,2020-06-23 05:16:31
321,Aklavik,68.22,-135.01,289.15,48,75,3.1,CA,2020-06-23 05:16:31
322,Road Town,18.42,-64.62,301.48,89,34,0.89,VG,2020-06-23 05:16:31
323,Altamira,-3.2,-52.21,296.01,77,49,0.43,BR,2020-06-23 05:16:32
324,Badarpur,24.9,92.6,303.04,78,81,0.97,IN,2020-06-23 05:16:32
325,Teya,60.38,92.63,300.53,29,36,1.54,RU,2020-06-23 05:16:32
326,Valentin Gomez Farias,28.22,-106.58,300.37,21,84,1.34,MX,2020-06-23 05:16:33
327,Tanete,-3.94,119.78,303.19,57,68,6.44,ID,2020-06-23 05:16:33
328,Yerbogachen,61.28,108.01,297.97,39,55,3.57,RU,2020-06-23 05:16:33
329,Axim,4.87,-2.24,298.17,83,100,2.7,GH,2020-06-23 05:15:01
330,Matagami,49.75,-77.63,291.15,88,90,1.0,CA,2020-06-23 05:16:34
331,Tuatapere,-46.13,167.68,277.04,83,100,1.34,NZ,2020-06-23 05:16:34
332,Rudnichnyy,59.62,52.47,284.5,77,100,3.38,RU,2020-06-23 05:16:34
333,Agde,43.31,3.48,291.48,87,0,2.1,FR,2020-06-23 05:16:35
334,Kavieng,-2.57,150.8,302.75,68,7,2.58,PG,2020-06-23 05:16:35
335,Naze,28.37,129.48,302.15,74,20,5.7,JP,2020-06-23 05:16:35
336,Sechura,-5.56,-80.82,291.72,81,3,4.58,PE,2020-06-23 05:16:36
337,Vila Do Maio,15.13,-23.22,299.15,54,36,4.1,CV,2020-06-23 05:16:03
338,Quatre Cocos,-20.21,57.76,297.15,64,40,4.1,MU,2020-06-23 05:16:36
339,Artyom,40.47,50.33,304.15,31,1,5.1,AZ,2020-06-23 05:16:36
340,Freeport,40.66,-73.58,296.48,88,75,4.1,US,2020-06-23 05:11:45
341,Pskov,57.81,28.35,289.15,77,0,2.0,RU,2020-06-23 05:16:37
342,La Maddalena,41.21,9.41,291.15,59,0,1.5,IT,2020-06-23 05:16:37
343,Maua,-23.67,-46.46,292.04,93,52,1.06,BR,2020-06-23 05:16:37
344,Yumen,40.28,97.2,304.28,11,0,11.31,CN,2020-06-23 05:16:37
345,Xuddur,4.12,43.89,298.04,65,59,9.97,SO,2020-06-23 05:16:38
346,Bollnas,61.35,16.39,291.66,60,88,1.12,SE,2020-06-23 05:16:38
347,High Level,58.52,-117.14,294.15,37,40,2.6,CA,2020-06-23 05:16:38
348,Rocha,-34.48,-54.33,289.09,96,100,5.26,UY,2020-06-23 05:16:38
349,Boqueirao,-7.5,-36.13,291.74,97,42,2.86,BR,2020-06-23 05:16:38
350,Labuhan,-6.88,112.21,303.25,61,72,1.03,ID,2020-06-23 05:16:39
351,Tazovskiy,67.47,78.7,282.98,69,92,3.87,RU,2020-06-23 05:16:39
352,Rivne,50.62,26.23,291.15,93,90,3.0,UA,2020-06-23 05:16:39
353,Barrancas,10.96,-72.79,297.93,86,95,1.56,CO,2020-06-23 05:16:39
354,Serowe,-22.38,26.72,278.81,83,0,2.05,BW,2020-06-23 05:16:39
355,Cascas,-7.48,-78.82,289.73,70,2,0.53,PE,2020-06-23 05:16:40
356,Angoche,-16.23,39.91,295.46,88,84,4.3,MZ,2020-06-23 05:16:40
357,Geraldton,-28.77,114.6,293.15,60,40,8.7,AU,2020-06-23 05:16:40
358,Iqaluit,63.75,-68.51,278.15,86,40,4.1,CA,2020-06-23 05:16:41
359,Te Anau,-45.42,167.72,280.74,87,59,0.4,NZ,2020-06-23 05:16:41
360,Horsham,51.06,-0.33,286.48,100,20,2.1,GB,2020-06-23 05:16:42
361,Sisimiut,66.94,-53.67,278.02,75,0,2.66,GL,2020-06-23 05:16:42
362,Constitucion,-35.33,-72.42,283.98,86,63,4.28,CL,2020-06-23 05:16:42
363,Lingao,19.91,109.69,307.94,48,68,0.55,CN,2020-06-23 05:16:43
364,Peace River,56.25,-117.29,290.15,55,40,3.6,CA,2020-06-23 05:14:53
365,Innisfail,-17.53,146.03,295.7,67,0,4.01,AU,2020-06-23 05:16:43
366,Phon,15.82,102.6,307.53,46,59,3.54,TH,2020-06-23 05:16:44
367,Souillac,-20.52,57.52,297.15,64,40,4.1,MU,2020-06-23 05:16:44
368,Wadi Maliz,36.47,8.55,289.15,82,20,2.1,TN,2020-06-23 05:16:44
369,Kayasula,44.33,45.0,299.94,51,13,2.61,RU,2020-06-23 05:16:45
370,Santo Domingo,18.5,-69.99,300.93,80,65,1.75,DO,2020-06-23 05:14:38
371,Ahipara,-35.17,173.17,288.87,82,57,6.12,NZ,2020-06-23 05:16:45
372,Alice Springs,-23.7,133.88,289.15,31,0,3.1,AU,2020-06-23 05:16:46
373,San Angelo,31.46,-100.44,300.15,61,1,4.1,US,2020-06-23 05:11:50
374,Pierre,44.37,-100.35,290.93,67,75,3.6,US,2020-06-23 05:15:40
375,Sakakah,29.97,40.21,299.15,22,0,6.7,SA,2020-06-23 05:16:46
376,Florida,28.75,-82.5,297.59,88,1,1.5,US,2020-06-23 05:16:46
377,Tomatlan,19.93,-105.25,298.68,81,40,1.07,MX,2020-06-23 05:16:46
378,Vila Velha,-20.33,-40.29,290.37,93,4,1.5,BR,2020-06-23 05:16:47
379,Padang,-0.95,100.35,298.41,80,100,1.5,ID,2020-06-23 05:16:47
380,Belyy Yar,53.6,91.39,289.15,72,46,1.0,RU,2020-06-23 05:16:47
381,Tura,25.52,90.22,304.01,68,22,3.27,IN,2020-06-23 05:16:47
382,Baijiantan,45.63,85.18,299.49,16,96,2.03,CN,2020-06-23 05:16:48
383,Raudeberg,61.99,5.14,289.82,59,94,3.01,NO,2020-06-23 05:16:48
